# space	Btrie	wBtrie (v)	x2WRBtrie (v)	x3WRBtrie (v)	x3WTRBtrie (v)	NPx2WRBtrie (v)
7.65409	3.78247	nan	nan	nan	nan	nan
8.02875	NaN	0.718575	nan	nan	nan	nan
8.62875	NaN	nan	0.733826	0.733826	0.733826	0.733826
10.1381	2.81001	nan	nan	nan	nan	nan
10.4122	NaN	0.693517	nan	nan	nan	nan
10.6122	NaN	nan	0.740013	0.740013	0.740013	0.740013
14.2689	1.73322	nan	nan	nan	nan	nan
14.4661	NaN	0.725343	nan	nan	nan	nan
14.6661	NaN	nan	0.730897	0.730897	0.730897	0.730897
16.2689	NaN	nan	nan	nan	nan	nan
16.8689	NaN	0.50022	nan	nan	nan	nan
