# space	Btrie	wBtrie (v)	x2WRBtrie (v)	x3WRBtrie (v)	x3WTRBtrie (v)	NPx2WRBtrie (v)
4.87073	NaN	nan	nan	nan	nan	nan
5.17766	2.99712	nan	nan	nan	nan	nan
5.22041	NaN	1.12087	nan	nan	nan	nan
5.41253	2.55952	nan	nan	nan	nan	nan
5.66804	NaN	nan	nan	nan	nan	nan
5.84758	1.58936	nan	nan	nan	nan	nan
5.91819	NaN	0.94138	nan	nan	nan	nan
6.9224	NaN	nan	nan	nan	nan	nan
6.92455	NaN	nan	nan	nan	nan	nan
6.9824	NaN	nan	nan	nan	nan	1.15106
6.98279	NaN	nan	0.60195	nan	nan	nan
7.18123	NaN	nan	nan	0.33196	nan	nan
7.18223	NaN	nan	nan	nan	nan	nan
7.2341	NaN	nan	nan	nan	nan	nan
7.31223	NaN	nan	nan	nan	nan	nan
7.32123	NaN	nan	nan	nan	0.33196	nan
7.41129	NaN	0.810906	nan	nan	nan	nan
8.10111	NaN	nan	nan	nan	nan	nan
8.1012	NaN	nan	nan	nan	nan	nan
8.12652	NaN	nan	0.42404	nan	nan	nan
8.1312	NaN	nan	nan	nan	nan	0.73185
8.16189	NaN	nan	nan	0.27324	nan	nan
8.44189	NaN	nan	nan	nan	0.27324	nan
9.77571	NaN	nan	nan	nan	nan	nan
9.89976	NaN	0.622111	nan	nan	nan	nan
10.3113	NaN	nan	nan	nan	nan	nan
10.3115	NaN	nan	nan	nan	nan	nan
10.4513	NaN	nan	nan	nan	nan	nan
10.4515	NaN	nan	nan	nan	nan	0.491935
10.4527	NaN	nan	0.34144	nan	nan	nan
10.4535	NaN	nan	nan	0.262872	nan	nan
10.9713	NaN	nan	nan	nan	nan	nan
10.9735	NaN	nan	nan	nan	0.262872	nan
